key,de,en,context,status
common.logoAlt,"assona – Insurance Solutions","assona – Insurance Solutions",Logo alt text,approved
auth.login.title,Willkommen!,Welcome!,Login heading,approved
auth.login.subtitle,Melde dich mit deinem assona Konto an.,Sign in with your assona account.,Login subheading,approved
auth.login.emailLabel,E‑Mail,Email,Login form,approved
auth.login.emailPlaceholder,john.smith@email.com,john.smith@email.com,Login form,approved
auth.login.passwordLabel,Passwort,Password,Login form,approved
auth.login.passwordPlaceholder,Passwort,Password,Login form,approved
auth.login.togglePasswordAria,Passwort ein-/ausblenden,Toggle password visibility,Accessibility,approved
auth.login.errorMessage,"Die eingegebene E‑Mail-Adresse oder das Passwort ist nicht korrekt. Bitte überprüfe deine Eingabe und versuche es erneut.","The email or password you entered is incorrect. Please check your input and try again.",Login error,approved
auth.login.submit,Anmelden,Sign in,Login button,approved
auth.login.forgotText,Passwort vergessen?,Forgot password?,Login,approved
auth.login.forgotLink,Hier zurücksetzen,Reset here,Login,approved
auth.login.toastDemoHint,"Tipp: Verwende {email} + ein beliebiges Passwort.","Tip: Use {email} and any password.",Demo hint toast,approved
auth.login.languageDe,Deutsch,German,Language toggle,approved
auth.login.languageEn,English,English,Language toggle,approved
auth.welcome.title,"Willkommen, Bike Shop Berlin!","Welcome, Bike Shop Berlin!",Welcome heading,approved
auth.welcome.signedInAs,Du bist angemeldet als,You are signed in as,Welcome,approved
auth.welcome.reportClaim,Versicherungsfall melden,Report claim,Welcome CTA,approved
auth.welcome.reportTheft,Diebstahl melden,Report theft,Welcome CTA,approved
auth.welcome.logout,Abmelden,Sign out,Welcome,approved
auth.welcome.toastTheftSoon,Diebstahl melden – in Kürze verfügbar,Report theft – coming soon,Toast,approved
nav.breadcrumbHome,Startseite,Home,Nav,approved
nav.breadcrumbNewClaim,Neuer Schadenfall,New claim,Nav,approved
nav.closeAria,Schließen,Close,Nav,approved
stepper.step1,Upload,Upload,Stepper,approved
stepper.step2,Schaden bestätigen,Confirm damage,Stepper,approved
stepper.step3,Validieren,Validate,Stepper,approved
stepper.step4,Prüfen & senden,Review & submit,Stepper,approved
proto.flow,Flow,Flow,Proto nav,approved
proto.login,Login,Login,Proto nav,approved
proto.home,Startseite,Home,Proto nav,approved
proto.step1,Schritt 1: Upload,Step 1: Upload,Proto nav,approved
proto.step2,Schritt 2: Schaden bestätigen,Step 2: Confirm damage,Proto nav,approved
proto.step3,Schritt 3: Validieren,Step 3: Validate,Proto nav,approved
proto.step4,Schritt 4: Prüfen & senden,Step 4: Review & submit,Proto nav,approved
upload.pdfError.title,Wir konnten keine Daten aus deiner Rechnung extrahieren,We could not extract data from your invoice,PDF error overlay,approved
upload.pdfError.body,"Bitte versuche es mit einem neuen Datei-Upload erneut oder fahre mit der manuellen Bearbeitung im aktuellen Portal fort.","Please try again with a new file upload or continue with manual entry in the current portal.",PDF error overlay,approved
upload.pdfError.uploadNew,Neue Rechnung hochladen,Upload new invoice,PDF error overlay,approved
upload.pdfError.continueManual,Mit manueller Bearbeitung fortfahren,Continue with manual entry,PDF error overlay,approved
upload.pdfError.closeAria,Schließen,Close,PDF error overlay,approved
validation.tooltipCheck,Feld prüfen,Check field,Step 3 tooltip,approved
validation.bauteilAria,Bauteil,Component,Step 3 dropdown,approved
upload.title,Rechnung oder Kostenvoranschlag hochladen,Upload invoice or quote,Step 1,approved
upload.subtitle,Wir extrahieren die Daten automatisch für dich.,We extract the data automatically for you.,Step 1,approved
upload.selectFile,Datei auswählen,Select file,Step 1,approved
upload.or,oder,or,Step 1,approved
upload.dragDrop,Datei hierher ziehen und ablegen,Drag and drop file here,Step 1,approved
upload.loadingPreview,Vorschau wird geladen …,Loading preview…,Step 1,approved
upload.pdfNavPrev,Vorherige Seite,Previous page,PDF toolbar,approved
upload.pdfNavNext,Nächste Seite,Next page,PDF toolbar,approved
upload.pdfZoomOut,Verkleinern,Zoom out,PDF toolbar,approved
upload.pdfZoomIn,Vergrößern,Zoom in,PDF toolbar,approved
upload.pdfExpand,Vorschau vergrößern,Expand preview,PDF toolbar,approved
upload.pdfShrink,Vorschau verkleinern,Shrink preview,PDF toolbar,approved
upload.agentAnalyzing,Datei wird analysiert …,Analyzing file…,Step 1 agent,approved
upload.agentExtract,Daten extrahieren,Extract data,Step 1 agent,approved
upload.agentFrame,Rahmennummer prüfen,Check frame number,Step 1 agent,approved
upload.agentAddress,Adresse prüfen,Check address,Step 1 agent,approved
upload.agentAnalyzed,Datei analysiert,File analyzed,Step 1 agent,approved
upload.agentExtracted,Daten extrahiert,Data extracted,Step 1 agent,approved
upload.agentFrameDone,Rahmennummer geprüft,Frame number checked,Step 1 agent,approved
upload.agentAddressDone,Adresse verifiziert,Address verified,Step 1 agent,approved
upload.agentExtracting,Daten werden extrahiert …,Extracting data…,Step 1 agent,approved
upload.agentFrameChecking,Rahmennummer wird geprüft …,Checking frame number…,Step 1 agent,approved
upload.agentAddressChecking,Adresse wird geprüft …,Checking address…,Step 1 agent,approved
upload.fileInputAria,PDF-Rechnung auswählen,Select PDF invoice,Step 1,approved
damage.pdfTrigger,PDF‑Vorschau anzeigen,Show PDF preview,Step 2,approved
damage.alertTitle,Rechnung hochgeladen:,Invoice uploaded:,Step 2 alert,approved
damage.alertSub,Bitte bestätige die folgenden Angaben.,Please confirm the following details.,Step 2 alert,approved
damage.reupload,Neue Datei hochladen,Upload new file,Step 2,approved
damage.confirmType,Schadentyp bestätigen,Confirm damage type,Step 2,approved
damage.partial,Teilschaden,Partial damage,Step 2,approved
damage.uvv,UVV,UVV,Step 2,approved
damage.inspection,Inspektion,Inspection,Step 2,approved
damage.inspectionTooltip,Inspektion muss separat gemeldet werden,Inspection must be reported separately,Step 2,approved
damage.confirmCauses,Schadensursachen bestätigen,Confirm causes,Step 2,approved
damage.continue,Weiter,Continue,Step 2,approved
damage.continueHintSelectCause,Wähle mindestens eine Ursache um fortzufahren,Select at least one cause to continue,Step 2,approved
damage.continueHintSelectType,Wähle zuerst einen Schadentyp,Select a damage type first,Step 2,approved
damage.continueHintReady,Bereit zum Fortfahren,Ready to continue,Step 2,approved
damage.causesSelected,"{n} Ursache(n) ausgewählt","{n} cause(s) selected",Step 2,approved
damage.pdfFallback,"PDF aus dem Upload-Schritt. Wähle im Schritt 1 eine Datei um sie hier zu sehen.","PDF from upload step. Select a file in step 1 to see it here.",Step 2,approved
damage.navPrevAria,Vorherige Seite,Previous page,Step 2 PDF,approved
